[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.0781s to transpose LDEs
[00:01:52.455] (7aca14a777c0) DEBUG  | | 3.0916s to build Merkle tree
[00:01:52.455] (7aca14a777c0) DEBUG  | 0.0572s to compute partial products
[00:01:52.455] (7aca14a777c0) DEBUG  | 0.7924s to commit to partial products, Z's and, if any, lookup polynomials
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.0090s to IFFT
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.0795s to FFT + blinding
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.0082s to transpose LDEs
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.6940s to build Merkle tree
[00:01:52.455] (7aca14a777c0) DEBUG  | 1.2235s to compute quotient polys
[00:01:52.455] (7aca14a777c0) DEBUG  | 0.0020s to split up quotient polys
[00:01:52.455] (7aca14a777c0) DEBUG  | 0.5936s to commit to quotient polys
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.0590s to FFT + blinding
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.0063s to transpose LDEs
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.5240s to build Merkle tree
[00:01:52.455] (7aca14a777c0) DEBUG  | 0.0276s to construct the opening set, including lookups
[00:01:52.455] (7aca14a777c0) DEBUG  | 0.1934s to compute opening proofs
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.0664s to reduce batch of 256 polynomials
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.0006s to reduce batch of 2 polynomials
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.0438s to perform final FFT 524288
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.0666s to fold codewords in the commitment phase
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.0131s to find proof-of-work witness
loop 9
[00:01:59.763] (7aca14a777c0) INFO   7.3069s to prove step 9
[00:01:59.763] (7aca14a777c0) DEBUG  | 0.4274s to run 608516 generators
[00:01:59.763] (7aca14a777c0) DEBUG  | 0.0612s to compute full witness
[00:01:59.763] (7aca14a777c0) DEBUG  | 0.0049s to compute wire polynomials
[00:01:59.763] (7aca14a777c0) DEBUG  | 3.6946s to compute wires commitment
[00:01:59.763] (7aca14a777c0) DEBUG  | | 0.0517s to IFFT
[00:01:59.763] (7aca14a777c0) DEBUG  | | 0.4751s to FFT + blinding
[00:01:59.763] (7aca14a777c0) DEBUG  | | 0.0739s to transpose LDEs
[00:01:59.764] (7aca14a777c0) DEBUG  | | 3.0917s to build Merkle tree
[00:01:59.764] (7aca14a777c0) DEBUG  | 0.0588s to compute partial products
[00:01:59.764] (7aca14a777c0) DEBUG  | 0.7926s to commit to partial products, Z's and, if any, lookup polynomials
[00:01:59.764] (7aca14a777c0) DEBUG  | | 0.0094s to IFFT
[00:01:59.764] (7aca14a777c0) DEBUG  | | 0.0793s to FFT + blinding
[00:01:59.764] (7aca14a777c0) DEBUG  | | 0.0085s to transpose LDEs
[00:01:59.764] (7aca14a777c0) DEBUG  | | 0.6938s to build Merkle tree
[00:01:59.764] (7aca14a777c0) DEBUG  | 1.2198s to compute quotient polys
[00:01:59.764] (7aca14a777c0) DEBUG  | 0.0047s to split up quotient polys
[00:01:59.764] (7aca14a777c0) DEBUG  | 0.5933s to commit to quotient polys
[00:01:59.764] (7aca14a777c0) DEBUG  | | 0.0580s to FFT + blinding
[00:01:59.764] (7aca14a777c0) DEBUG  | | 0.0066s to transpose LDEs
